,year_month,total_btc_favor_count,perc_btc_favor_tweets,total_btc_favor_likes,total_btc_favor_retweets,avg_btc_sentiment_scores,var_btc_sentiment_scores,total_btc_favor_scores,avg_btc_favor_likes,avg_btc_favor_retweets,avg_btc_favor_scores,log_avg_btc_favor_likes,log_avg_btc_favor_retweets,log_avg_btc_favor_scores,year,month,cpi,month_ind,cpi_month_diff,cpi_year_diff,cpi_MoM,cpi_YoY,perc_btc_favor_tweets_diff,perc_btc_favor_tweets_MoM,avg_btc_favor_likes_diff,avg_btc_favor_retweets_diff,total_wallet,avg_price,avg_trx,log_avg_price,log_avg_trx,new_wallet,avg_price_month_diff,avg_trx_month_diff,log_avg_price_month_diff
16,2013-5,822,0.5661157024793388,27,364,0.468902479338843,0.1914442264583556,695.4268000000001,0.032846715328467155,0.44282238442822386,0.8460180048661802,0.0323187912551674,0.3666011845014909,0.6130308894817308,2013,May,232.945,5,0.41399999999998727,3.1299999999999955,1.0017804077735872,1.0136196505885169,0.3704635285662954,2.893480257116621,-0.027338469856718027,0.2437483103541498,265186.0,119.81500000000001,55919.5,4.7942604499774175,4.7942604499774175,38711.0,-11.858999999999995,-2472.800000000003,-0.09363454149313721
17,2013-6,321,0.2910244786944696,13,77,0.2313962828649139,0.1547387760932484,267.4669,0.040498442367601244,0.2398753894080997,0.8332302180685358,0.03969986984668455,0.21501088215442185,0.6060795572986342,2013,Jun,233.504,6,0.5589999999999975,4.025999999999982,1.0023997080855995,1.017544165453769,-0.2750912237848692,0.5140724368179682,0.007651727039134089,-0.20294699502012417,312136.0,108.66900000000001,48108.6,4.697466738466663,4.697466738466663,46950.0,-11.146,-7810.9000000000015,-0.09679371151075422
18,2013-7,64,0.07901234567901234,1,81,0.03550320987654321,0.0339116202369027,39.9547,0.015625,1.265625,0.6242921875,0.015504186535965254,0.8178506590609025,0.48507214396744003,2013,Jul,233.596,7,0.09200000000001296,4.49199999999999,1.000393997533233,1.019606816118444,-0.2120121330154573,0.27149725010576514,-0.024873442367601244,1.0257496105919004,356243.0,90.468,38860.90909090909,4.515989184336848,4.515989184336848,44107.0,-18.201000000000008,-9247.69090909091,-0.18147755412981503
19,2013-8,73,0.07969432314410481,3,45,0.040102292576419216,0.03412810293462904,46.6527,0.0410958904109589,0.6164383561643836,0.6390780821917809,0.040273899137939946,0.48022518331727365,0.49413393876835315,2013,Aug,233.877,8,0.2810000000000059,3.498000000000019,1.0012029315570472,1.015183675595432,0.0006819774650924648,1.0086312772925765,0.025470890410958902,-0.6491866438356164,383949.0,107.8690909090909,55166.5,4.690146159615651,4.690146159615651,27706.0,17.401090909090897,16305.590909090912,0.17415697527880258
20,2013-9,22,0.03709949409780776,0,13,0.000650421585160203,0.010320097470261158,10.0475,0.0,0.5909090909090909,0.4567045454545454,0.0,0.46430560813109784,0.3761767238458368,2013,Sep,234.149,9,0.27199999999999136,2.7419999999999902,1.0011630044852635,1.0118492526155216,-0.04259482904629705,0.46552241909030007,-0.0410958904109589,-0.025529265255292644,432914.0,125.799,54219.7,4.842603155536696,4.842603155536696,48965.0,17.929909090909106,-946.8000000000029,0.1524569959210451
21,2013-10,140,0.12704174228675136,2,3,0.050342196007259525,0.025770926455845274,64.1163,0.014285714285714285,0.02142857142857143,0.45797357142857137,0.014184634991956432,0.021202207650602982,0.37704750682997706,2013,Oct,233.546,10,-0.6030000000000086,2.228999999999985,0.9974247167401953,1.009636127046434,0.002041742286751358,1.0163339382940109,0.014285714285714285,-0.07857142857142857,480756.0,154.107,51155.7,5.044115201336859,5.044115201336859,387622.0,138.448,4377.336363636357,2.231164590409279
22,2013-11,340,0.20807833537331702,27,67,0.07918623011015911,0.03965192482558329,150.7288,0.07941176470588235,0.19705882352941176,0.44332000000000005,0.07641623044436319,0.17986756783238791,0.3669460154283307,2013,Nov,233.069,11,-0.47700000000000387,2.8479999999999848,0.9979575758094765,1.012370722045339,0.08103659308656566,1.637873754152824,0.06512605042016806,0.17563025210084032,550257.0,505.287,66820.18181818182,6.22710370216982,6.22710370216982,69501.0,351.17999999999995,15664.481818181826,1.1829885008329608
23,2013-12,802,0.3529929577464789,627,1119,0.1437573943661972,0.05188133171984797,352.6686,0.7817955112219451,1.3952618453865338,0.43973640897755617,0.5776215700633529,0.8734925549020423,0.364460047511196,2013,Dec,233.049,12,-0.01999999999998181,3.4480000000000075,0.9999141885021174,1.015017356196184,0.14491462237316186,1.696442626346313,0.7023837465160627,1.198203021857122,856515.5,797.91,61985.9,6.683248298620822,6.683248298620822,306258.5,292.623,-4834.281818181822,0.45614459645100247
24,2014-1,614,0.3569767441860465,126,168,0.14661348837209304,0.05113418932348438,269.0119,0.20521172638436483,0.2736156351791531,0.43813013029315967,0.18665525805107297,0.24185981239816862,0.3633437491496985,2014,Jan,233.916,1,0.8669999999999902,3.6359999999999957,1.003720247673236,1.0157894736842106,0.31987725008823875,9.622145877378433,0.20521172638436483,-0.31729345572993783,1081937.0,819.8799999999999,61444.1,6.7103769355539535,6.7103769355539535,649023.0,694.0809999999999,7224.4000000000015,1.8677737800172576
25,2014-2,502,0.2670212765957447,111,134,0.11465510638297872,0.04521825118200049,229.55380000000002,0.22111553784860558,0.26693227091633465,0.4572784860557769,0.1997648162444822,0.23659844364839294,0.37657064556909114,2014,Feb,234.781,2,0.8650000000000091,2.615000000000009,1.0036979086509688,1.0112634925010553,-0.15274342928660822,0.6361213147600421,0.018200739642327546,-0.5705116752720062,1230466.0,667.8611111111111,65463.3,6.505576431865124,6.505576431865124,-1436062.5,322.00811111111113,-20770.88181818182,0.6566753727991985
